Day,Date,Phase,Cumulative_Cases,Daily_Cases,Active_Cases,Deaths_Today,Cumulative_Deaths,Effective_R
41,2030-01-15 + 41 days,Stealth Spread,909,139,567,12,66,3.2
42,2030-01-15 + 42 days,Stealth Spread,1073,164,669,15,81,3.2
43,2030-01-15 + 43 days,Stealth Spread,1267,194,789,18,99,3.2
44,2030-01-15 + 44 days,Stealth Spread,1497,230,932,22,121,3.2
45,2030-01-15 + 45 days,Stealth Spread,1767,270,1101,25,146,3.2
46,2030-01-15 + 46 days,Stealth Spread,2087,320,1300,30,176,3.2
47,2030-01-15 + 47 days,Stealth Spread,2464,377,1535,36,212,3.2
48,2030-01-15 + 48 days,Stealth Spread,2909,445,1812,43,255,3.2
49,2030-01-15 + 49 days,Stealth Spread,3435,526,2139,49,304,3.2
50,2030-01-15 + 50 days,Stealth Spread,4057,622,2526,59,363,3.2
51,2030-01-15 + 51 days,Stealth Spread,4790,733,2984,69,432,3.2
52,2030-01-15 + 52 days,Stealth Spread,5656,866,3523,83,515,3.2
53,2030-01-15 + 53 days,Stealth Spread,6678,1022,4159,98,613,3.2
54,2030-01-15 + 54 days,Stealth Spread,7886,1208,4911,115,728,3.2
55,2030-01-15 + 55 days,Stealth Spread,9311,1425,5799,136,864,3.2
56,2030-01-15 + 56 days,Stealth Spread,10995,1684,6847,160,1024,3.2
57,2030-01-15 + 57 days,Stealth Spread,12982,1987,8086,190,1214,3.2
58,2030-01-15 + 58 days,Stealth Spread,15329,2347,9547,225,1439,3.2
59,2030-01-15 + 59 days,Local Outbreak,895,0,11272,264,1703,2.24
60,2030-01-15 + 60 days,Local Outbreak,1004,109,10539,313,2016,2.24
61,2030-01-15 + 61 days,Local Outbreak,1127,123,9782,369,2385,2.24
62,2030-01-15 + 62 days,Local Outbreak,1265,138,8883,436,2821,2.24
63,2030-01-15 + 63 days,Local Outbreak,1419,154,7813,515,3336,2.24
64,2030-01-15 + 64 days,Local Outbreak,1593,174,6542,609,3945,2.24
65,2030-01-15 + 65 days,Local Outbreak,1787,194,5032,718,4663,2.24
66,2030-01-15 + 66 days,Local Outbreak,2006,219,3239,848,5511,2.24
67,2030-01-15 + 67 days,Local Outbreak,2250,244,1111,1001,6512,2.24
68,2030-01-15 + 68 days,Local Outbreak,2525,275,1355,1183,7695,2.24
69,2030-01-15 + 69 days,Local Outbreak,2834,309,1521,1396,9091,2.24
70,2030-01-15 + 70 days,Local Outbreak,3180,346,1707,1650,10741,2.24
71,2030-01-15 + 71 days,Local Outbreak,3568,388,1915,1947,12688,2.24
72,2030-01-15 + 72 days,Local Outbreak,4004,436,2149,2300,14988,2.24
73,2030-01-15 + 73 days,Local Outbreak,4493,489,2411,0,14988,2.24
74,2030-01-15 + 74 days,Local Outbreak,5042,549,2706,106,15094,2.24
75,2030-01-15 + 75 days,Local Outbreak,5657,615,3036,120,15214,2.24
76,2030-01-15 + 76 days,Local Outbreak,3,0,3407,135,15349,1.12
77,2030-01-15 + 77 days,Local Outbreak,3,0,3132,150,15499,1.12
78,2030-01-15 + 78 days,Local Outbreak,3,0,2823,170,15669,1.12
79,2030-01-15 + 79 days,Local Outbreak,3,0,2477,190,15859,1.12
80,2030-01-15 + 80 days,Local Outbreak,3,0,2089,214,16073,1.12
81,2030-01-15 + 81 days,Local Outbreak,3,0,1653,239,16312,1.12
82,2030-01-15 + 82 days,Local Outbreak,3,0,1164,269,16581,1.12
83,2030-01-15 + 83 days,Local Outbreak,3,0,615,302,16883,1.12
84,2030-01-15 + 84 days,Local Outbreak,3,0,0,339,17222,1.12
85,2030-01-15 + 85 days,Local Outbreak,3,0,0,380,17602,1.12
86,2030-01-15 + 86 days,Local Outbreak,4,1,0,427,18029,1.12
87,2030-01-15 + 87 days,Local Outbreak,4,0,1,479,18508,1.12
88,2030-01-15 + 88 days,Local Outbreak,4,0,1,538,19046,1.12
89,2030-01-15 + 89 days,Local Outbreak,4,0,1,602,19648,1.12
90,2030-01-15 + 90 days,Local Outbreak,4,0,1,0,19648,1.12
91,2030-01-15 + 91 days,Local Outbreak,4,0,1,0,19648,1.12
92,2030-01-15 + 92 days,Local Outbreak,4,0,1,0,19648,1.12
93,2030-01-15 + 93 days,Local Outbreak,4,0,1,0,19648,1.12
94,2030-01-15 + 94 days,Local Outbreak,4,0,1,0,19648,1.12
95,2030-01-15 + 95 days,Local Outbreak,4,0,0,0,19648,1.12
96,2030-01-15 + 96 days,Local Outbreak,4,0,0,0,19648,1.12
97,2030-01-15 + 97 days,Local Outbreak,4,0,0,0,19648,1.12
98,2030-01-15 + 98 days,Local Outbreak,4,0,0,0,19648,1.12
99,2030-01-15 + 99 days,Local Outbreak,4,0,0,0,19648,1.12
100,2030-01-15 + 100 days,Local Outbreak,5,1,0,0,19648,1.12
101,2030-01-15 + 101 days,Local Outbreak,5,0,1,0,19648,1.12
102,2030-01-15 + 102 days,Local Outbreak,5,0,1,0,19648,1.12
103,2030-01-15 + 103 days,Local Outbreak,5,0,1,0,19648,1.12
104,2030-01-15 + 104 days,Local Outbreak,5,0,1,0,19648,1.12
105,2030-01-15 + 105 days,Local Outbreak,5,0,1,0,19648,1.12
106,2030-01-15 + 106 days,Local Outbreak,5,0,1,0,19648,1.12
107,2030-01-15 + 107 days,Local Outbreak,5,0,1,0,19648,1.12
108,2030-01-15 + 108 days,Local Outbreak,5,0,1,0,19648,1.12
109,2030-01-15 + 109 days,Local Outbreak,5,0,0,0,19648,1.12
110,2030-01-15 + 110 days,Local Outbreak,5,0,0,0,19648,1.12
111,2030-01-15 + 111 days,Local Outbreak,6,1,0,0,19648,1.12
112,2030-01-15 + 112 days,Local Outbreak,6,0,1,0,19648,1.12
113,2030-01-15 + 113 days,Local Outbreak,6,0,1,0,19648,1.12
114,2030-01-15 + 114 days,Local Outbreak,6,0,1,0,19648,1.12
115,2030-01-15 + 115 days,Local Outbreak,6,0,1,0,19648,1.12
116,2030-01-15 + 116 days,Local Outbreak,6,0,1,0,19648,1.12
117,2030-01-15 + 117 days,Local Outbreak,6,0,1,0,19648,1.12
118,2030-01-15 + 118 days,Local Outbreak,6,0,1,0,19648,1.12
119,2030-01-15 + 119 days,Local Outbreak,6,0,1,0,19648,1.12
120,2030-01-15 + 120 days,Local Outbreak,6,0,0,0,19648,1.12
121,2030-01-15 + 121 days,Local Outbreak,7,1,0,0,19648,1.12
122,2030-01-15 + 122 days,Local Outbreak,7,0,1,0,19648,1.12
123,2030-01-15 + 123 days,Local Outbreak,7,0,1,0,19648,1.12
124,2030-01-15 + 124 days,Local Outbreak,7,0,1,0,19648,1.12
125,2030-01-15 + 125 days,Local Outbreak,7,0,1,0,19648,1.12
126,2030-01-15 + 126 days,Local Outbreak,7,0,1,0,19648,1.12
127,2030-01-15 + 127 days,Local Outbreak,7,0,1,0,19648,1.12
128,2030-01-15 + 128 days,Local Outbreak,7,0,1,0,19648,1.12
129,2030-01-15 + 129 days,Local Outbreak,8,1,1,0,19648,1.12
130,2030-01-15 + 130 days,Local Outbreak,8,0,1,0,19648,1.12
131,2030-01-15 + 131 days,Local Outbreak,8,0,1,0,19648,1.12
132,2030-01-15 + 132 days,Local Outbreak,8,0,1,0,19648,1.12
133,2030-01-15 + 133 days,Local Outbreak,8,0,1,0,19648,1.12
134,2030-01-15 + 134 days,Local Outbreak,8,0,1,0,19648,1.12
135,2030-01-15 + 135 days,Local Outbreak,8,0,1,0,19648,1.12
136,2030-01-15 + 136 days,Local Outbreak,9,1,1,0,19648,1.12
137,2030-01-15 + 137 days,National Crisis,0,0,2,0,19648,0.34
138,2030-01-15 + 138 days,National Crisis,0,0,1,0,19648,0.34
139,2030-01-15 + 139 days,National Crisis,0,0,1,0,19648,0.34
140,2030-01-15 + 140 days,National Crisis,0,0,1,0,19648,0.34
141,2030-01-15 + 141 days,National Crisis,0,0,1,0,19648,0.34
142,2030-01-15 + 142 days,National Crisis,0,0,1,0,19648,0.34
143,2030-01-15 + 143 days,National Crisis,0,0,1,0,19648,0.34
144,2030-01-15 + 144 days,National Crisis,0,0,1,0,19648,0.34
145,2030-01-15 + 145 days,National Crisis,0,0,0,0,19648,0.34
146,2030-01-15 + 146 days,National Crisis,0,0,0,0,19648,0.34
147,2030-01-15 + 147 days,National Crisis,0,0,0,0,19648,0.34
148,2030-01-15 + 148 days,National Crisis,0,0,0,0,19648,0.34
149,2030-01-15 + 149 days,National Crisis,0,0,0,0,19648,0.34
150,2030-01-15 + 150 days,National Crisis,0,0,0,0,19648,0.34
151,2030-01-15 + 151 days,National Crisis,0,0,0,0,19648,0.34
152,2030-01-15 + 152 days,National Crisis,0,0,0,0,19648,0.34
153,2030-01-15 + 153 days,National Crisis,0,0,0,0,19648,0.34
154,2030-01-15 + 154 days,National Crisis,0,0,0,0,19648,0.34
155,2030-01-15 + 155 days,National Crisis,0,0,0,0,19648,0.34
156,2030-01-15 + 156 days,National Crisis,0,0,0,0,19648,0.34
157,2030-01-15 + 157 days,National Crisis,0,0,0,0,19648,0.34
158,2030-01-15 + 158 days,National Crisis,0,0,0,0,19648,0.34
159,2030-01-15 + 159 days,National Crisis,0,0,0,0,19648,0.34
160,2030-01-15 + 160 days,National Crisis,0,0,0,0,19648,0.34
161,2030-01-15 + 161 days,National Crisis,0,0,0,0,19648,0.34
162,2030-01-15 + 162 days,National Crisis,0,0,0,0,19648,0.34
163,2030-01-15 + 163 days,National Crisis,0,0,0,0,19648,0.34
164,2030-01-15 + 164 days,National Crisis,0,0,0,0,19648,0.34
165,2030-01-15 + 165 days,National Crisis,0,0,0,0,19648,0.34
166,2030-01-15 + 166 days,National Crisis,0,0,0,0,19648,0.34
167,2030-01-15 + 167 days,National Crisis,0,0,0,0,19648,0.34
168,2030-01-15 + 168 days,National Crisis,0,0,0,0,19648,0.34
169,2030-01-15 + 169 days,National Crisis,0,0,0,0,19648,0.34
170,2030-01-15 + 170 days,National Crisis,0,0,0,0,19648,0.34
171,2030-01-15 + 171 days,National Crisis,0,0,0,0,19648,0.34
172,2030-01-15 + 172 days,National Crisis,0,0,0,0,19648,0.34
173,2030-01-15 + 173 days,National Crisis,0,0,0,0,19648,0.34
174,2030-01-15 + 174 days,National Crisis,0,0,0,0,19648,0.34
175,2030-01-15 + 175 days,National Crisis,0,0,0,0,19648,0.34
176,2030-01-15 + 176 days,National Crisis,0,0,0,0,19648,0.34
177,2030-01-15 + 177 days,National Crisis,0,0,0,0,19648,0.34
178,2030-01-15 + 178 days,National Crisis,0,0,0,0,19648,0.34
179,2030-01-15 + 179 days,National Crisis,0,0,0,0,19648,0.34
180,2030-01-15 + 180 days,National Crisis,0,0,0,0,19648,0.34
181,2030-01-15 + 181 days,National Crisis,0,0,0,0,19648,0.34
182,2030-01-15 + 182 days,National Crisis,0,0,0,0,19648,0.34
183,2030-01-15 + 183 days,National Crisis,0,0,0,0,19648,0.34
184,2030-01-15 + 184 days,National Crisis,0,0,0,0,19648,0.34
185,2030-01-15 + 185 days,National Crisis,0,0,0,0,19648,0.34
186,2030-01-15 + 186 days,National Crisis,0,0,0,0,19648,0.34
187,2030-01-15 + 187 days,National Crisis,0,0,0,0,19648,0.34
188,2030-01-15 + 188 days,National Crisis,0,0,0,0,19648,0.34
189,2030-01-15 + 189 days,National Crisis,0,0,0,0,19648,0.34
190,2030-01-15 + 190 days,National Crisis,0,0,0,0,19648,0.34
191,2030-01-15 + 191 days,National Crisis,0,0,0,0,19648,0.34
192,2030-01-15 + 192 days,National Crisis,0,0,0,0,19648,0.34
193,2030-01-15 + 193 days,National Crisis,0,0,0,0,19648,0.34
194,2030-01-15 + 194 days,National Crisis,0,0,0,0,19648,0.34
195,2030-01-15 + 195 days,National Crisis,0,0,0,0,19648,0.34
196,2030-01-15 + 196 days,National Crisis,0,0,0,0,19648,0.34
197,2030-01-15 + 197 days,National Crisis,0,0,0,0,19648,0.34
198,2030-01-15 + 198 days,National Crisis,0,0,0,0,19648,0.34
199,2030-01-15 + 199 days,National Crisis,0,0,0,0,19648,0.34
200,2030-01-15 + 200 days,National Crisis,0,0,0,0,19648,0.34
201,2030-01-15 + 201 days,National Crisis,0,0,0,0,19648,0.34
202,2030-01-15 + 202 days,National Crisis,0,0,0,0,19648,0.34
203,2030-01-15 + 203 days,National Crisis,0,0,0,0,19648,0.34
204,2030-01-15 + 204 days,National Crisis,0,0,0,0,19648,0.34
205,2030-01-15 + 205 days,National Crisis,0,0,0,0,19648,0.34
206,2030-01-15 + 206 days,National Crisis,0,0,0,0,19648,0.34
207,2030-01-15 + 207 days,National Crisis,0,0,0,0,19648,0.34
208,2030-01-15 + 208 days,National Crisis,0,0,0,0,19648,0.34
209,2030-01-15 + 209 days,National Crisis,0,0,0,0,19648,0.34
210,2030-01-15 + 210 days,National Crisis,0,0,0,0,19648,0.34
211,2030-01-15 + 211 days,National Crisis,0,0,0,0,19648,0.34
212,2030-01-15 + 212 days,National Crisis,0,0,0,0,19648,0.34
213,2030-01-15 + 213 days,National Crisis,0,0,0,0,19648,0.34
214,2030-01-15 + 214 days,National Crisis,0,0,0,0,19648,0.34
215,2030-01-15 + 215 days,National Crisis,0,0,0,0,19648,0.34
216,2030-01-15 + 216 days,National Crisis,0,0,0,0,19648,0.34
217,2030-01-15 + 217 days,National Crisis,0,0,0,0,19648,0.34
218,2030-01-15 + 218 days,National Crisis,0,0,0,0,19648,0.34
219,2030-01-15 + 219 days,National Crisis,0,0,0,0,19648,0.34
220,2030-01-15 + 220 days,National Crisis,0,0,0,0,19648,0.34
221,2030-01-15 + 221 days,National Crisis,0,0,0,0,19648,0.34
222,2030-01-15 + 222 days,National Crisis,0,0,0,0,19648,0.34
223,2030-01-15 + 223 days,National Crisis,0,0,0,0,19648,0.34
224,2030-01-15 + 224 days,National Crisis,0,0,0,0,19648,0.34
225,2030-01-15 + 225 days,National Crisis,0,0,0,0,19648,0.34
226,2030-01-15 + 226 days,National Crisis,0,0,0,0,19648,0.34
227,2030-01-15 + 227 days,National Crisis,0,0,0,0,19648,0.34
228,2030-01-15 + 228 days,National Crisis,0,0,0,0,19648,0.34
229,2030-01-15 + 229 days,National Crisis,0,0,0,0,19648,0.05
230,2030-01-15 + 230 days,National Crisis,0,0,0,0,19648,0.05
231,2030-01-15 + 231 days,National Crisis,0,0,0,0,19648,0.05
232,2030-01-15 + 232 days,National Crisis,0,0,0,0,19648,0.05
233,2030-01-15 + 233 days,National Crisis,0,0,0,0,19648,0.05
234,2030-01-15 + 234 days,National Crisis,0,0,0,0,19648,0.05
235,2030-01-15 + 235 days,National Crisis,0,0,0,0,19648,0.05
236,2030-01-15 + 236 days,National Crisis,0,0,0,0,19648,0.05
237,2030-01-15 + 237 days,National Crisis,0,0,0,0,19648,0.05
238,2030-01-15 + 238 days,National Crisis,0,0,0,0,19648,0.05
239,2030-01-15 + 239 days,National Crisis,0,0,0,0,19648,0.05
240,2030-01-15 + 240 days,National Crisis,0,0,0,0,19648,0.05
241,2030-01-15 + 241 days,National Crisis,0,0,0,0,19648,0.05
242,2030-01-15 + 242 days,National Crisis,0,0,0,0,19648,0.05
243,2030-01-15 + 243 days,National Crisis,0,0,0,0,19648,0.05
244,2030-01-15 + 244 days,National Crisis,0,0,0,0,19648,0.05
245,2030-01-15 + 245 days,National Crisis,0,0,0,0,19648,0.05
246,2030-01-15 + 246 days,National Crisis,0,0,0,0,19648,0.05
247,2030-01-15 + 247 days,National Crisis,0,0,0,0,19648,0.05
248,2030-01-15 + 248 days,National Crisis,0,0,0,0,19648,0.05
249,2030-01-15 + 249 days,National Crisis,0,0,0,0,19648,0.05
250,2030-01-15 + 250 days,National Crisis,0,0,0,0,19648,0.05
251,2030-01-15 + 251 days,National Crisis,0,0,0,0,19648,0.05
252,2030-01-15 + 252 days,National Crisis,0,0,0,0,19648,0.05
253,2030-01-15 + 253 days,National Crisis,0,0,0,0,19648,0.05
254,2030-01-15 + 254 days,National Crisis,0,0,0,0,19648,0.05
255,2030-01-15 + 255 days,National Crisis,0,0,0,0,19648,0.05
256,2030-01-15 + 256 days,National Crisis,0,0,0,0,19648,0.05
257,2030-01-15 + 257 days,National Crisis,0,0,0,0,19648,0.05
258,2030-01-15 + 258 days,National Crisis,0,0,0,0,19648,0.05
259,2030-01-15 + 259 days,National Crisis,0,0,0,0,19648,0.05
260,2030-01-15 + 260 days,National Crisis,0,0,0,0,19648,0.05
261,2030-01-15 + 261 days,National Crisis,0,0,0,0,19648,0.05
262,2030-01-15 + 262 days,National Crisis,0,0,0,0,19648,0.05
263,2030-01-15 + 263 days,National Crisis,0,0,0,0,19648,0.05
264,2030-01-15 + 264 days,National Crisis,0,0,0,0,19648,0.05
265,2030-01-15 + 265 days,National Crisis,0,0,0,0,19648,0.05
266,2030-01-15 + 266 days,National Crisis,0,0,0,0,19648,0.05
267,2030-01-15 + 267 days,National Crisis,0,0,0,0,19648,0.05
268,2030-01-15 + 268 days,National Crisis,0,0,0,0,19648,0.05
269,2030-01-15 + 269 days,National Crisis,0,0,0,0,19648,0.05
270,2030-01-15 + 270 days,National Crisis,0,0,0,0,19648,0.05
271,2030-01-15 + 271 days,National Crisis,0,0,0,0,19648,0.05
272,2030-01-15 + 272 days,National Crisis,0,0,0,0,19648,0.05
273,2030-01-15 + 273 days,National Crisis,0,0,0,0,19648,0.05
274,2030-01-15 + 274 days,National Crisis,0,0,0,0,19648,0.05
275,2030-01-15 + 275 days,National Crisis,0,0,0,0,19648,0.05
276,2030-01-15 + 276 days,National Crisis,0,0,0,0,19648,0.05
277,2030-01-15 + 277 days,National Crisis,0,0,0,0,19648,0.05
278,2030-01-15 + 278 days,National Crisis,0,0,0,0,19648,0.05
279,2030-01-15 + 279 days,National Crisis,0,0,0,0,19648,0.05
280,2030-01-15 + 280 days,National Crisis,0,0,0,0,19648,0.05
281,2030-01-15 + 281 days,National Crisis,0,0,0,0,19648,0.05
282,2030-01-15 + 282 days,National Crisis,0,0,0,0,19648,0.05
283,2030-01-15 + 283 days,National Crisis,0,0,0,0,19648,0.05
284,2030-01-15 + 284 days,National Crisis,0,0,0,0,19648,0.05
285,2030-01-15 + 285 days,National Crisis,0,0,0,0,19648,0.05
286,2030-01-15 + 286 days,National Crisis,0,0,0,0,19648,0.05
287,2030-01-15 + 287 days,National Crisis,0,0,0,0,19648,0.05
288,2030-01-15 + 288 days,National Crisis,0,0,0,0,19648,0.05
289,2030-01-15 + 289 days,National Crisis,0,0,0,0,19648,0.05
290,2030-01-15 + 290 days,National Crisis,0,0,0,0,19648,0.05
291,2030-01-15 + 291 days,National Crisis,0,0,0,0,19648,0.05
292,2030-01-15 + 292 days,National Crisis,0,0,0,0,19648,0.05
293,2030-01-15 + 293 days,National Crisis,0,0,0,0,19648,0.05
294,2030-01-15 + 294 days,National Crisis,0,0,0,0,19648,0.05
295,2030-01-15 + 295 days,National Crisis,0,0,0,0,19648,0.05
296,2030-01-15 + 296 days,National Crisis,0,0,0,0,19648,0.05
297,2030-01-15 + 297 days,National Crisis,0,0,0,0,19648,0.05
298,2030-01-15 + 298 days,National Crisis,0,0,0,0,19648,0.05
299,2030-01-15 + 299 days,National Crisis,0,0,0,0,19648,0.05
300,2030-01-15 + 300 days,National Crisis,0,0,0,0,19648,0.05
301,2030-01-15 + 301 days,National Crisis,0,0,0,0,19648,0.05
302,2030-01-15 + 302 days,National Crisis,0,0,0,0,19648,0.05
303,2030-01-15 + 303 days,National Crisis,0,0,0,0,19648,0.05
304,2030-01-15 + 304 days,National Crisis,0,0,0,0,19648,0.05
305,2030-01-15 + 305 days,National Crisis,0,0,0,0,19648,0.05
306,2030-01-15 + 306 days,National Crisis,0,0,0,0,19648,0.05
307,2030-01-15 + 307 days,National Crisis,0,0,0,0,19648,0.05
308,2030-01-15 + 308 days,National Crisis,0,0,0,0,19648,0.05
309,2030-01-15 + 309 days,National Crisis,0,0,0,0,19648,0.05
310,2030-01-15 + 310 days,National Crisis,0,0,0,0,19648,0.05
311,2030-01-15 + 311 days,National Crisis,0,0,0,0,19648,0.05
312,2030-01-15 + 312 days,National Crisis,0,0,0,0,19648,0.05
313,2030-01-15 + 313 days,National Crisis,0,0,0,0,19648,0.05
314,2030-01-15 + 314 days,National Crisis,0,0,0,0,19648,0.05
315,2030-01-15 + 315 days,National Crisis,0,0,0,0,19648,0.05
316,2030-01-15 + 316 days,National Crisis,0,0,0,0,19648,0.05
317,2030-01-15 + 317 days,National Crisis,0,0,0,0,19648,0.05
318,2030-01-15 + 318 days,National Crisis,0,0,0,0,19648,0.05
319,2030-01-15 + 319 days,National Crisis,0,0,0,0,19648,0.05
320,2030-01-15 + 320 days,National Crisis,0,0,0,0,19648,0.05
321,2030-01-15 + 321 days,National Crisis,0,0,0,0,19648,0.05
322,2030-01-15 + 322 days,National Crisis,0,0,0,0,19648,0.05
323,2030-01-15 + 323 days,National Crisis,0,0,0,0,19648,0.05
324,2030-01-15 + 324 days,National Crisis,0,0,0,0,19648,0.05
325,2030-01-15 + 325 days,National Crisis,0,0,0,0,19648,0.05
326,2030-01-15 + 326 days,National Crisis,0,0,0,0,19648,0.05
327,2030-01-15 + 327 days,National Crisis,0,0,0,0,19648,0.05
328,2030-01-15 + 328 days,National Crisis,0,0,0,0,19648,0.05
329,2030-01-15 + 329 days,National Crisis,0,0,0,0,19648,0.05
330,2030-01-15 + 330 days,National Crisis,0,0,0,0,19648,0.05
331,2030-01-15 + 331 days,National Crisis,0,0,0,0,19648,0.05
332,2030-01-15 + 332 days,National Crisis,0,0,0,0,19648,0.05
333,2030-01-15 + 333 days,National Crisis,0,0,0,0,19648,0.05
334,2030-01-15 + 334 days,National Crisis,0,0,0,0,19648,0.05
335,2030-01-15 + 335 days,National Crisis,0,0,0,0,19648,0.05
336,2030-01-15 + 336 days,National Crisis,0,0,0,0,19648,0.05
337,2030-01-15 + 337 days,National Crisis,0,0,0,0,19648,0.05
338,2030-01-15 + 338 days,National Crisis,0,0,0,0,19648,0.05
339,2030-01-15 + 339 days,National Crisis,0,0,0,0,19648,0.05
340,2030-01-15 + 340 days,National Crisis,0,0,0,0,19648,0.05
341,2030-01-15 + 341 days,National Crisis,0,0,0,0,19648,0.05
342,2030-01-15 + 342 days,National Crisis,0,0,0,0,19648,0.05
343,2030-01-15 + 343 days,National Crisis,0,0,0,0,19648,0.05
344,2030-01-15 + 344 days,National Crisis,0,0,0,0,19648,0.05
345,2030-01-15 + 345 days,National Crisis,0,0,0,0,19648,0.05
346,2030-01-15 + 346 days,National Crisis,0,0,0,0,19648,0.05
347,2030-01-15 + 347 days,National Crisis,0,0,0,0,19648,0.05
348,2030-01-15 + 348 days,National Crisis,0,0,0,0,19648,0.05
349,2030-01-15 + 349 days,National Crisis,0,0,0,0,19648,0.05
350,2030-01-15 + 350 days,National Crisis,0,0,0,0,19648,0.05
351,2030-01-15 + 351 days,National Crisis,0,0,0,0,19648,0.05
352,2030-01-15 + 352 days,National Crisis,0,0,0,0,19648,0.05
353,2030-01-15 + 353 days,National Crisis,0,0,0,0,19648,0.05
354,2030-01-15 + 354 days,National Crisis,0,0,0,0,19648,0.05
355,2030-01-15 + 355 days,National Crisis,0,0,0,0,19648,0.05
356,2030-01-15 + 356 days,National Crisis,0,0,0,0,19648,0.05
357,2030-01-15 + 357 days,National Crisis,0,0,0,0,19648,0.05
358,2030-01-15 + 358 days,National Crisis,0,0,0,0,19648,0.05
359,2030-01-15 + 359 days,National Crisis,0,0,0,0,19648,0.05
360,2030-01-15 + 360 days,National Crisis,0,0,0,0,19648,0.05
361,2030-01-15 + 361 days,National Crisis,0,0,0,0,19648,0.05
362,2030-01-15 + 362 days,National Crisis,0,0,0,0,19648,0.05
363,2030-01-15 + 363 days,National Crisis,0,0,0,0,19648,0.05
364,2030-01-15 + 364 days,National Crisis,0,0,0,0,19648,0.05
365,2030-01-15 + 365 days,International Response,0,0,0,0,19648,0.05
366,2030-01-15 + 366 days,International Response,0,0,0,0,19648,0.05
367,2030-01-15 + 367 days,International Response,0,0,0,0,19648,0.05
368,2030-01-15 + 368 days,International Response,0,0,0,0,19648,0.05
369,2030-01-15 + 369 days,International Response,0,0,0,0,19648,0.05
370,2030-01-15 + 370 days,International Response,0,0,0,0,19648,0.05
371,2030-01-15 + 371 days,International Response,0,0,0,0,19648,0.05
372,2030-01-15 + 372 days,International Response,0,0,0,0,19648,0.05
373,2030-01-15 + 373 days,International Response,0,0,0,0,19648,0.05
374,2030-01-15 + 374 days,International Response,0,0,0,0,19648,0.05
375,2030-01-15 + 375 days,International Response,0,0,0,0,19648,0.05
376,2030-01-15 + 376 days,International Response,0,0,0,0,19648,0.05
